system   I             system.c:245  al_install_system                [   0.00040] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:202  debug_display_settings           [   0.32148] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32150] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.32151] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32153] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.32154] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32156] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32157] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32159] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32160] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32162] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.32163] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32165] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.32166] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32167] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.32169] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32170] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.32171] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32173] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.32174] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32176] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.32177] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32179] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.32180] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32182] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32183] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32185] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32186] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32188] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.32189] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32191] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.32192] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32194] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.32195] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32197] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.32198] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32199] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.32201] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32202] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.32204] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32205] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.32206] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32208] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32209] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32211] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32212] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32214] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.32215] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32217] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.32218] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32220] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.32221] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32223] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.32224] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32226] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.32227] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32229] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.32230] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32232] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.32233] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32235] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32236] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32238] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32239] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32241] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.32242] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32243] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.32245] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32246] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.32248] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32249] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.32251] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32252] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.32254] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32255] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.32256] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32258] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.32259] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32261] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32262] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32264] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32265] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32267] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.32268] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32270] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.32271] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32273] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.32274] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32276] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.32277] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32281] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.32282] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32284] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.32285] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32287] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.32288] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32290] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32291] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.32293] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.32295] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32297] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.32299] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32301] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.32302] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32304] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.32306] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32308] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.32310] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32313] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.32314] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32317] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.32318] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.32320] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.32322] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.32324] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32326] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.32328] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32329] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32331] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32332] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32333] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32334] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32336] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32338] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32339] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32340] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32342] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32343] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32345] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32346] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32347] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32349] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.32350] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32351] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.32353] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32354] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32356] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32357] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32359] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32360] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32361] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32362] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32364] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32365] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32367] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32368] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32370] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32371] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32372] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32374] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.32375] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32376] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.32378] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32379] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32381] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32382] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32384] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32385] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32386] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32388] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32389] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32390] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32392] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32393] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32395] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32396] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32397] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32399] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.32400] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32401] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.32404] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32405] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32407] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32409] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32411] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32412] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32414] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32416] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32417] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32419] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32420] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32421] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32423] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32424] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32426] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32427] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.32428] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32430] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.32431] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32432] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32434] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32435] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32436] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32437] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32439] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32440] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32442] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32443] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32444] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32445] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32447] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32449] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32451] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32452] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.32453] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32455] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.32456] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32457] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32460] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32461] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32462] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32464] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32468] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32469] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.32471] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.32472] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
